Child's First Name,Summation of Counts,Ethnicity
Aliyah,72,HISPANIC
Aliza,70,WHITE NON HISPANIC
Allan,48,HISPANIC
Allen,100,ASIAN AND PACIFIC ISLANDER
Allen,24,HISPANIC
Allison,54,ASIAN AND PACIFIC ISLANDER
Allison,410,HISPANIC
Allison,52,WHITE NON HISPANIC
Allyson,68,HISPANIC
Alma,46,HISPANIC
Alma,42,WHITE NON HISPANIC
Alondra,58,HISPANIC
Alonso,20,HISPANIC
Alpha,54,BLACK NON HISPANIC
Alston,26,ASIAN AND PACIFIC ISLANDER
Alvin,140,ASIAN AND PACIFIC ISLANDER
Alyssa,98,ASIAN AND PACIFIC ISLANDER
Alyssa,118,BLACK NON HISPANIC
Alyssa,142,HISPANIC
Alyssa,110,WHITE NON HISPANIC
Amadou,62,BLACK NON HISPANIC
Amalia,30,HISPANIC
Amalia,24,WHITE NON HISPANIC
Amanda,52,ASIAN AND PACIFIC ISLANDER
Amanda,134,HISPANIC
Amanda,46,WHITE NON HISPANIC
Amani,20,BLACK NON HISPANIC
Amar'e,24,BLACK NON HISPANIC
Amara,24,BLACK NON HISPANIC
Amare,50,BLACK NON HISPANIC
Amari,126,BLACK NON HISPANIC
Amaya,110,BLACK NON HISPANIC
Amaya,114,HISPANIC
Amber,78,ASIAN AND PACIFIC ISLANDER
Amber,32,BLACK NON HISPANIC
Amber,98,HISPANIC
Amelia,118,ASIAN AND PACIFIC ISLANDER
Amelia,100,BLACK NON HISPANIC
Amelia,186,HISPANIC
Amelia,274,WHITE NON HISPANIC
Amelie,50,WHITE NON HISPANIC
Amia,20,BLACK NON HISPANIC
Amina,20,ASIAN AND PACIFIC ISLANDER
Amina,90,BLACK NON HISPANIC
Amina,84,WHITE NON HISPANIC
Aminata,118,BLACK NON HISPANIC
Amir,406,BLACK NON HISPANIC
Amir,86,HISPANIC
Amir,116,WHITE NON HISPANIC
Amira,58,BLACK NON HISPANIC
Amira,72,WHITE NON HISPANIC
Amirah,44,BLACK NON HISPANIC
Amiya,20,BLACK NON HISPANIC
Amiyah,72,BLACK NON HISPANIC
Amy,100,ASIAN AND PACIFIC ISLANDER
Amy,310,HISPANIC
Amy,28,WHITE NON HISPANIC
Ana,120,HISPANIC
Ana,48,WHITE NON HISPANIC
Anabel,22,HISPANIC
Anabella,48,HISPANIC
Anabelle,20,HISPANIC
Analia,24,HISPANIC
Ananya,20,ASIAN AND PACIFIC ISLANDER
Anastasia,118,WHITE NON HISPANIC
Anaya,96,ASIAN AND PACIFIC ISLANDER
Anaya,38,BLACK NON HISPANIC
Anaya,46,HISPANIC
Anayah,20,ASIAN AND PACIFIC ISLANDER
Anderson,24,ASIAN AND PACIFIC ISLANDER
Anderson,106,HISPANIC
Andre,56,BLACK NON HISPANIC
Andre,26,HISPANIC
Andrea,178,HISPANIC
Andres,118,HISPANIC
Andrew,214,ASIAN AND PACIFIC ISLANDER
Andrew,128,BLACK NON HISPANIC
Andrew,332,HISPANIC
Andrew,422,WHITE NON HISPANIC
Andy,156,ASIAN AND PACIFIC ISLANDER
Andy,128,HISPANIC
Angel,68,ASIAN AND PACIFIC ISLANDER
Angel,46,BLACK NON HISPANIC
Angel,824,HISPANIC
Angela,266,ASIAN AND PACIFIC ISLANDER
Angela,76,HISPANIC
Angelica,94,HISPANIC
Angelica,24,WHITE NON HISPANIC
Angelina,132,ASIAN AND PACIFIC ISLANDER
Angelina,52,BLACK NON HISPANIC
Angelina,178,HISPANIC
Angelina,178,WHITE NON HISPANIC
Angeline,24,HISPANIC
Angelique,64,HISPANIC
Angelo,40,HISPANIC
Angelo,64,WHITE NON HISPANIC
Angie,82,HISPANIC
Anika,26,ASIAN AND PACIFIC ISLANDER
Anisa,54,WHITE NON HISPANIC
Aniya,52,BLACK NON HISPANIC
Aniyah,90,BLACK NON HISPANIC
Anna,152,ASIAN AND PACIFIC ISLANDER
Anna,28,HISPANIC
Anna,386,WHITE NON HISPANIC
Annabel,30,WHITE NON HISPANIC
Annabella,66,HISPANIC
Annabelle,46,ASIAN AND PACIFIC ISLANDER
Annabelle,28,BLACK NON HISPANIC
Annabelle,52,HISPANIC
Annabelle,106,WHITE NON HISPANIC
Annalise,24,HISPANIC
Anne,28,ASIAN AND PACIFIC ISLANDER
Anne,42,WHITE NON HISPANIC
Annie,96,ASIAN AND PACIFIC ISLANDER
Annika,20,ASIAN AND PACIFIC ISLANDER
Anson,90,ASIAN AND PACIFIC ISLANDER
Anthony,134,ASIAN AND PACIFIC ISLANDER
Anthony,170,BLACK NON HISPANIC
Anthony,674,HISPANIC
Anthony,468,WHITE NON HISPANIC
Anton,44,WHITE NON HISPANIC
Antonia,56,WHITE NON HISPANIC
Antonio,48,BLACK NON HISPANIC
Antonio,130,HISPANIC
Antonio,100,WHITE NON HISPANIC
Anya,50,ASIAN AND PACIFIC ISLANDER
April,48,HISPANIC
Arabella,32,HISPANIC
Archer,50,WHITE NON HISPANIC
Arely,22,HISPANIC
Arham,24,ASIAN AND PACIFIC ISLANDER
Ari,146,WHITE NON HISPANIC
Aria,102,ASIAN AND PACIFIC ISLANDER
Aria,66,BLACK NON HISPANIC
Aria,100,HISPANIC
Aria,160,WHITE NON HISPANIC
Arian,22,HISPANIC
Ariana,114,ASIAN AND PACIFIC ISLANDER
Ariana,94,BLACK NON HISPANIC
Ariana,348,HISPANIC
Ariana,150,WHITE NON HISPANIC
Arianna,58,ASIAN AND PACIFIC ISLANDER
Arianna,170,BLACK NON HISPANIC
Arianna,322,HISPANIC
Arianna,128,WHITE NON HISPANIC
Arianny,30,HISPANIC
Ariel,66,ASIAN AND PACIFIC ISLANDER
Ariel,180,BLACK NON HISPANIC
Ariel,134,HISPANIC
Ariel,104,WHITE NON HISPANIC
Ariella,52,HISPANIC
Ariella,134,WHITE NON HISPANIC
Arielle,84,BLACK NON HISPANIC
Arielle,48,HISPANIC
Arisha,20,ASIAN AND PACIFIC ISLANDER
